city,period_month,year_start,year_end,sample_years,temperature_mean_c,daily_max_temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,precipitation_days_mean,heavy_rain_days_mean,extreme_rain_days_mean,hot_days_mean,cold_days_mean,windy_days_mean,snow_days_mean,missing_rate,source_product,source_model,spatial_resolution,spatial_method
Seoul,0,2000,2025,26,11.4631,15.8075,8.9789,77.3437,106.4231,18.0769,4.3077,0.0385,110.1923,16.8077,6.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Singapore,0,2000,2025,26,27.0942,29.4368,31.14,84.8508,281.3846,31.7692,6.1538,0.0,0.0,0.0,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Bangkok,0,2000,2025,26,27.8469,32.8611,31.104,74.7322,183.0,11.0769,0.1538,87.6538,0.0,0.0,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Sydney,0,2000,2025,26,18.6962,21.4192,17.0902,72.7392,119.6538,9.4231,0.8846,0.8077,0.0,5.1923,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Melbourne,0,2000,2025,26,14.6936,19.2862,11.608,74.3471,126.1923,3.6923,0.1923,4.0385,0.0,22.1154,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Auckland,0,2000,2025,26,15.7588,18.5713,12.5149,79.0862,145.1923,9.6923,0.8462,0.0,0.0,59.3846,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Dubai,0,2000,2025,26,28.3624,32.2714,29.3751,58.4376,13.9615,0.8846,0.1154,151.3077,0.0,3.6154,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Istanbul,0,2000,2025,26,15.3524,18.6536,12.4035,75.1057,99.6154,3.3077,0.0385,0.7308,8.2692,31.0,1.1154,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Cape Town,0,2000,2025,26,17.0122,18.6548,13.7367,79.2366,82.5385,3.9615,0.5,0.0,0.0,68.0385,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Nairobi,0,2000,2025,26,20.1729,27.6604,18.2966,65.9973,131.1538,1.4615,0.0385,0.0385,0.0,0.1154,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
